지점,지점명,시간,온도,습도,기압
257,양산시,2012/08/01 1:00,26.5,68,1007.2
257,양산시,2012/08/01 2:00,26,70,1006.9
257,양산시,2012/08/01 3:00,25.5,73,1006.9
257,양산시,2012/08/01 4:00,25.5,74,1006.8
257,양산시,2012/08/01 5:00,25.4,74,1006.8
257,양산시,2012/08/01 6:00,25.5,76,1006.9
257,양산시,2012/08/01 7:00,27.1,68,1007.2
257,양산시,2012/08/01 8:00,28.9,61,1007.3
257,양산시,2012/08/01 9:00,30.8,57,1007.5
257,양산시,2012/08/01 10:00,31.9,52,1007.1
257,양산시,2012/08/01 11:00,33.3,49,1006.7
257,양산시,2012/08/01 12:00,34.2,44,1006.4
257,양산시,2012/08/01 13:00,34.6,37,1006
257,양산시,2012/08/01 14:00,34.7,38,1006
257,양산시,2012/08/01 15:00,33.8,42,1005.3
257,양산시,2012/08/01 16:00,33.2,44,1005.5
257,양산시,2012/08/01 17:00,32.4,46,1005.6
257,양산시,2012/08/01 18:00,31.5,49,1005.6
257,양산시,2012/08/01 19:00,30,52,1006
257,양산시,2012/08/01 20:00,28.5,62,1006.6
257,양산시,2012/08/01 21:00,28.5,58,1006.9
257,양산시,2012/08/01 22:00,28,63,1007.1
257,양산시,2012/08/01 23:00,27.9,64,1007.6
257,양산시,2012/08/02 0:00,27.9,63,1007.9
257,양산시,2012/08/02 1:00,28,65,1007.4
257,양산시,2012/08/02 2:00,27.5,69,1007.5
257,양산시,2012/08/02 3:00,27.8,70,1007.2
257,양산시,2012/08/02 4:00,27.7,71,1007.5
257,양산시,2012/08/02 5:00,27.8,71,1007.3
257,양산시,2012/08/02 6:00,28.8,67,1007.6
257,양산시,2012/08/02 7:00,29,66,1008.1
257,양산시,2012/08/02 8:00,29.3,63,1008.7
257,양산시,2012/08/02 9:00,30.2,59,1009.2
257,양산시,2012/08/02 10:00,31.2,55,1009.2
257,양산시,2012/08/02 11:00,31.2,53,1009.9
257,양산시,2012/08/02 12:00,31.6,52,1009.8
257,양산시,2012/08/02 13:00,31.4,52,1009.3
257,양산시,2012/08/02 14:00,31.2,52,1009.5
257,양산시,2012/08/02 15:00,31.4,52,1009.3
257,양산시,2012/08/02 16:00,31.7,49,1009.4
257,양산시,2012/08/02 17:00,31.4,50,1009.3
257,양산시,2012/08/02 18:00,31.2,51,1009.4
257,양산시,2012/08/02 19:00,30.6,53,1009.8
257,양산시,2012/08/02 20:00,29.6,57,1010.4
257,양산시,2012/08/02 21:00,29.1,62,1010.9
257,양산시,2012/08/02 22:00,28.8,64,1011
257,양산시,2012/08/02 23:00,28.1,68,1011.3
257,양산시,2012/08/03 0:00,27.9,70,1011.2
257,양산시,2012/08/03 1:00,27.6,72,1011.2
257,양산시,2012/08/03 2:00,27.4,73,1011.2
257,양산시,2012/08/03 3:00,27.6,72,1011.1
257,양산시,2012/08/03 4:00,27.6,73,1011.3
257,양산시,2012/08/03 5:00,27.2,74,1011.4
257,양산시,2012/08/03 6:00,26.9,75,1011.3
257,양산시,2012/08/03 7:00,27.4,74,1011.6
257,양산시,2012/08/03 8:00,28.3,70,1011.8
257,양산시,2012/08/03 9:00,29.7,63,1011.8
257,양산시,2012/08/03 10:00,30.6,59,1011.9
257,양산시,2012/08/03 11:00,33.4,48,1011.6
257,양산시,2012/08/03 12:00,33.4,46,1011.4
257,양산시,2012/08/03 13:00,33.8,44,1010.9
257,양산시,2012/08/03 14:00,33.3,44,1010.4
257,양산시,2012/08/03 15:00,33.8,46,1010
257,양산시,2012/08/03 16:00,33.5,47,1009.8
257,양산시,2012/08/03 17:00,32.8,50,1009.6
257,양산시,2012/08/03 18:00,31.7,55,1009.8
257,양산시,2012/08/03 19:00,30.4,61,1010.4
257,양산시,2012/08/03 20:00,29.3,64,1010.8
257,양산시,2012/08/03 21:00,28.3,69,1011.3
257,양산시,2012/08/03 22:00,28.1,69,1011.5
257,양산시,2012/08/03 23:00,27.8,71,1011.6
257,양산시,2012/08/04 0:00,28.2,68,1011.3
257,양산시,2012/08/04 1:00,27.4,72,1011.3
257,양산시,2012/08/04 2:00,27,74,1010.8
257,양산시,2012/08/04 3:00,27,73,1010.6
257,양산시,2012/08/04 4:00,27.1,72,1010.4
257,양산시,2012/08/04 5:00,27.2,72,1010.4
257,양산시,2012/08/04 6:00,27,74,1010.3
257,양산시,2012/08/04 7:00,27.6,72,1010.3
257,양산시,2012/08/04 8:00,28.3,68,1010.3
257,양산시,2012/08/04 9:00,29.1,65,1010.5
257,양산시,2012/08/04 10:00,31.1,57,1010.5
257,양산시,2012/08/04 11:00,31.5,56,1010.2
