sensor,datetime,temperature,humidity
DHT11,2022/07/08 8:58,28,55
DHT11,2022/07/08 8:58,28,55
DHT11,2022/07/08 9:32,28,55
DHT11,2022/07/08 9:32,30,50
DHT11,2022/07/08 9:43,30,50
DHT11,2022/07/08 9:43,27,56
DHT11,2022/07/08 9:43,27,56
DHT11,2022/07/08 9:43,27,56
DHT11,2022/07/08 9:43,27,56
DHT11,2022/07/08 9:43,27,56
DHT11,2022/07/08 9:49,27,56
DHT11,2022/07/08 9:49,27,55
DHT11,2022/07/08 9:49,27,56
DHT11,2022/07/08 9:49,27,56
DHT11,2022/07/08 10:01,27,56
DHT11,2022/07/08 10:01,27,56
DHT11,2022/07/08 10:01,27,56
DHT11,2022/07/08 10:11,27,57
DHT11,2022/07/08 10:11,27,57
DHT11,2022/07/08 10:11,27,58
DHT11,2022/07/08 10:26,27,58
DHT11,2022/07/08 10:26,27,56
DHT11,2022/07/08 10:26,27,57
DHT11,2022/07/08 10:38,27,57
DHT11,2022/07/08 10:38,27,56
DHT11,2022/07/08 10:38,27,57
DHT11,2022/07/08 10:38,27,57
DHT11,2022/07/08 10:38,27,56
DHT11,2022/07/08 10:38,27,57
DHT11,2022/07/08 10:38,27,57
DHT11,2022/07/08 11:06,27,56
DHT11,2022/07/08 11:06,27,57
DHT11,2022/07/08 11:06,27,58
DHT11,2022/07/08 11:06,27,58
DHT11,2022/07/08 11:12,27,58
DHT11,2022/07/08 11:12,27,57
DHT11,2022/07/08 11:12,27,58
DHT11,2022/07/08 11:13,27,58
DHT11,2022/07/08 11:13,27,57
DHT11,2022/07/08 11:14,27,57
DHT11,2022/07/08 11:24,27,57
DHT11,2022/07/08 11:34,27,57
DHT11,2022/07/08 11:44,27,57
DHT11,2022/07/08 11:54,27,57
DHT11,2022/07/08 12:04,27,57
DHT11,2022/07/08 12:14,26,61
DHT11,2022/07/08 12:24,26,61
DHT11,2022/07/08 12:34,26,61
DHT11,2022/07/08 12:44,25,61
DHT11,2022/07/08 12:54,25,61
DHT11,2022/07/08 13:04,25,61
DHT11,2022/07/08 13:14,26,61
DHT11,2022/07/08 13:24,25,62
DHT11,2022/07/08 13:34,25,61
DHT11,2022/07/08 13:40,25,62
DHT11,2022/07/08 13:50,26,62
DHT11,2022/07/08 14:00,26,59
DHT11,2022/07/08 14:10,26,59
DHT11,2022/07/08 14:20,26,61
DHT11,2022/07/08 14:30,26,60
DHT11,2022/07/08 14:40,26,59
DHT11,2022/07/08 14:50,26,60
DHT11,2022/07/08 15:00,26,59
DHT11,2022/07/08 15:10,25,61
DHT11,2022/07/08 15:20,25,62
DHT11,2022/07/08 15:30,25,62
DHT11,2022/07/08 15:40,25,63
DHT11,2022/07/08 15:50,25,62
DHT11,2022/07/08 16:00,25,62
DHT11,2022/07/08 16:10,25,60
DHT11,2022/07/08 16:20,25,60
DHT11,2022/07/08 16:30,26,60
DHT11,2022/07/08 16:40,26,59
DHT11,2022/07/08 16:50,26,57
DHT11,2022/07/08 17:00,26,59
DHT11,2022/07/08 17:10,26,58
DHT11,2022/07/08 17:20,26,60
DHT11,2022/07/08 17:30,25,60
DHT11,2022/07/08 17:40,26,60
DHT11,2022/07/08 17:50,26,60
DHT11,2022/07/08 18:00,27,60
DHT11,2022/07/08 18:10,27,59
DHT11,2022/07/08 18:20,28,60
DHT11,2022/07/08 18:30,28,60
DHT11,2022/07/08 18:40,28,60
DHT11,2022/07/08 18:50,28,60
DHT11,2022/07/08 19:00,28,60
DHT11,2022/07/08 19:10,28,59
DHT11,2022/07/08 19:20,28,59
DHT11,2022/07/08 19:30,29,60
DHT11,2022/07/08 19:40,29,59
DHT11,2022/07/08 19:50,29,60
DHT11,2022/07/08 20:00,29,59
DHT11,2022/07/08 20:10,29,59
DHT11,2022/07/08 20:20,29,59
DHT11,2022/07/08 20:30,29,59
DHT11,2022/07/08 20:40,29,59
DHT11,2022/07/08 20:50,29,60
DHT11,2022/07/08 21:00,29,60
DHT11,2022/07/08 21:10,29,60
DHT11,2022/07/08 21:20,29,60
DHT11,2022/07/08 21:30,29,60
DHT11,2022/07/08 21:40,29,59
DHT11,2022/07/08 21:50,29,59
DHT11,2022/07/08 22:00,29,59
DHT11,2022/07/08 22:10,29,60
DHT11,2022/07/08 22:20,29,60
DHT11,2022/07/08 22:30,29,60
DHT11,2022/07/08 22:40,29,59
DHT11,2022/07/08 22:50,29,59
DHT11,2022/07/08 23:00,29,59
DHT11,2022/07/08 23:10,29,59
DHT11,2022/07/08 23:20,29,59
DHT11,2022/07/08 23:30,29,59
DHT11,2022/07/08 23:40,29,59
DHT11,2022/07/08 23:50,29,59
DHT11,2022/07/09 0:00,29,60
DHT11,2022/07/09 0:10,29,60
DHT11,2022/07/09 0:20,29,60
DHT11,2022/07/09 0:30,29,60
DHT11,2022/07/09 0:40,29,60
DHT11,2022/07/09 0:50,29,60
DHT11,2022/07/09 1:00,29,60
DHT11,2022/07/09 1:10,29,61
DHT11,2022/07/09 1:20,29,61
DHT11,2022/07/09 1:30,29,61
DHT11,2022/07/09 1:40,29,60
DHT11,2022/07/09 1:51,29,61
DHT11,2022/07/09 2:01,29,60
DHT11,2022/07/09 2:11,29,60
DHT11,2022/07/09 2:21,29,60
DHT11,2022/07/09 2:31,29,60
DHT11,2022/07/09 2:41,29,60
DHT11,2022/07/09 2:51,29,60
DHT11,2022/07/09 3:01,29,60
DHT11,2022/07/09 3:11,29,60
DHT11,2022/07/09 3:21,29,60
DHT11,2022/07/09 3:31,29,60
DHT11,2022/07/09 3:41,29,59
DHT11,2022/07/09 3:51,29,59
DHT11,2022/07/09 4:01,29,59
DHT11,2022/07/09 4:11,29,59
DHT11,2022/07/09 4:21,29,59
DHT11,2022/07/09 4:31,29,59
DHT11,2022/07/09 4:41,29,59
DHT11,2022/07/09 4:51,29,59
DHT11,2022/07/09 5:01,29,59
DHT11,2022/07/09 5:11,29,59
DHT11,2022/07/09 5:21,29,59
DHT11,2022/07/09 5:31,29,59
DHT11,2022/07/09 5:41,29,59
DHT11,2022/07/09 5:51,29,59
DHT11,2022/07/09 6:01,29,59
DHT11,2022/07/09 6:11,29,59
DHT11,2022/07/09 6:21,29,59
DHT11,2022/07/09 6:31,29,59
DHT11,2022/07/09 6:41,29,58
DHT11,2022/07/09 6:51,29,58
DHT11,2022/07/09 7:01,29,58
DHT11,2022/07/09 7:11,29,58
DHT11,2022/07/09 7:21,29,58
DHT11,2022/07/09 7:31,29,58
DHT11,2022/07/09 7:41,29,58
DHT11,2022/07/09 7:51,29,58
DHT11,2022/07/09 8:01,29,58
DHT11,2022/07/09 8:11,29,58
DHT11,2022/07/09 8:21,29,58
DHT11,2022/07/09 8:31,29,58
DHT11,2022/07/09 8:41,29,58
DHT11,2022/07/09 8:51,29,58
DHT11,2022/07/09 9:01,29,57
DHT11,2022/07/09 9:11,29,58
DHT11,2022/07/09 9:21,29,57
